Designator,Mid X,Mid Y,Rotation,Layer
R1A10,65.31,-141.455,270.0,bottom
R1A11,55.626064,-132.109093,270.0,bottom
R1A12,55.917534,-141.289052,270.0,bottom
R1A13,65.32,-150.305,270.0,bottom
R1A14,65.2475,-159.213017,270.0,bottom
R1A15,55.899966,-150.303965,270.0,bottom
R1A16,55.9575,-159.034476,270.0,bottom
R1A17,65.473259,-167.933017,270.0,bottom
R1A18,65.229966,-176.778965,270.0,bottom
R1A19,56.1325,-167.859476,270.0,bottom
R1A2,64.0525,-105.17,270.0,bottom
R1A20,55.597534,-176.804052,270.0,bottom
R1A21,64.704966,-185.608965,270.0,bottom
R1A22,65.1275,-194.568017,270.0,bottom
R1A23,55.5575,-185.573017,270.0,bottom
R1A24,55.7125,-194.559482,270.0,bottom
R1A25,63.703,-216.5325,270.0,bottom
R1A26,63.813,-225.365,270.0,bottom
R1A27,54.9255,-216.395,270.0,bottom
R1A28,56.013,-225.365,270.0,bottom
R1A29,63.913,-234.165,270.0,bottom
R1A3,55.8025,-96.23,270.0,bottom
R1A30,64.713,-242.915,270.0,bottom
R1A31,55.413,-234.165,270.0,bottom
R1A32,56.013,-242.965,270.0,bottom
R1A33,64.62,-251.675,270.0,bottom
R1A34,65.25,-260.905,270.0,bottom
R1A35,56.22,-251.875,270.0,bottom
R1A36,57.46,-260.915,270.0,bottom
R1A37,64.86,-269.665,270.0,bottom
R1A38,64.88,-278.545,270.0,bottom
R1A39,56.86,-269.515,270.0,bottom
R1A4,55.9075,-105.39,270.0,bottom
R1A40,57.28,-278.745,270.0,bottom
R1A41,65.08,-287.37,270.0,bottom
R1A42,64.745,-296.32,270.0,bottom
R1A43,57.08,-287.57,270.0,bottom
R1A44,56.97,-296.525,270.0,bottom
R1A45,64.7,-305.23,270.0,bottom
R1A46,64.52,-314.09,270.0,bottom
R1A47,56.895,-305.31,270.0,bottom
R1A48,56.72,-314.29,270.0,bottom
R1A49,64.63,-323.22,270.0,bottom
R1A5,64.2775,-113.855,270.0,bottom
R1A50,63.78,-332.29,270.0,bottom
R1A51,56.73,-323.22,270.0,bottom
R1A52,56.38,-332.29,270.0,bottom
R1A53,63.93,-341.495,270.0,bottom
R1A54,64.05,-350.63,270.0,bottom
R1A55,55.88,-341.545,270.0,bottom
R1A56,56.48,-350.745,270.0,bottom
R1A57,63.809073,-359.638182,270.0,bottom
R1A58,64.030646,-368.4991,270.0,bottom
R1A59,56.009073,-359.638182,270.0,bottom
R1A6,65.13647,-123.432976,270.0,bottom
R1A60,56.430646,-368.4991,270.0,bottom
R1A61,63.982073,-377.603935,270.0,bottom
R1A62,63.65,-386.505,270.0,bottom
R1A63,56.419573,-377.271952,270.0,bottom
R1A64,56.2875,-386.273017,270.0,bottom
R1A7,55.932034,-114.464052,270.0,bottom
R1A8,55.8375,-123.245,270.0,bottom
R1A9,65.145996,-132.574006,270.0,bottom
R1B1,64.0125,-96.17,90.0,bottom
R1B10,66.77,-141.455,90.0,bottom
R1B11,57.086064,-132.109093,90.0,bottom
R1B12,57.397534,-141.264052,90.0,bottom
R1B13,66.78,-150.305,90.0,bottom
R1B14,66.7075,-159.213017,90.0,bottom
R1B15,57.359966,-150.303965,90.0,bottom
R1B16,57.4175,-159.034476,90.0,bottom
R1B17,66.933259,-167.933017,90.0,bottom
R1B18,66.689966,-176.778965,90.0,bottom
R1B19,57.5925,-167.859476,90.0,bottom
R1B2,65.5125,-105.17,90.0,bottom
R1B20,57.057534,-176.804052,90.0,bottom
R1B21,66.164966,-185.608965,90.0,bottom
R1B22,66.5875,-194.568017,90.0,bottom
R1B23,57.0175,-185.573017,90.0,bottom
R1B24,57.1725,-194.559482,90.0,bottom
R1B25,65.163,-216.5325,90.0,bottom
R1B26,65.273,-225.365,90.0,bottom
R1B27,56.3855,-216.395,90.0,bottom
R1B28,57.473,-225.365,90.0,bottom
R1B29,65.373,-234.165,90.0,bottom
R1B3,57.2625,-96.23,90.0,bottom
R1B30,66.173,-242.915,90.0,bottom
R1B31,56.873,-234.165,90.0,bottom
R1B32,57.473,-242.965,90.0,bottom
R1B33,66.08,-251.675,90.0,bottom
R1B34,66.71,-260.905,90.0,bottom
R1B35,57.68,-251.875,90.0,bottom
R1B36,58.92,-260.915,90.0,bottom
R1B37,66.32,-269.665,90.0,bottom
R1B38,66.34,-278.545,90.0,bottom
R1B39,58.32,-269.515,90.0,bottom
R1B4,57.3675,-105.39,90.0,bottom
R1B40,58.74,-278.745,90.0,bottom
R1B41,66.54,-287.37,90.0,bottom
R1B42,66.205,-296.32,90.0,bottom
R1B43,58.54,-287.57,90.0,bottom
R1B44,58.43,-296.525,90.0,bottom
R1B45,66.16,-305.23,90.0,bottom
R1B46,65.98,-314.09,90.0,bottom
R1B47,58.355,-305.31,90.0,bottom
R1B48,58.18,-314.29,90.0,bottom
R1B49,66.09,-323.22,90.0,bottom
R1B5,65.7375,-113.855,90.0,bottom
R1B50,65.24,-332.29,90.0,bottom
R1B51,58.19,-323.22,90.0,bottom
R1B52,57.84,-332.29,90.0,bottom
R1B53,65.39,-341.495,90.0,bottom
R1B54,65.51,-350.63,90.0,bottom
R1B55,57.34,-341.545,90.0,bottom
R1B56,57.94,-350.745,90.0,bottom
R1B57,65.269073,-359.638182,90.0,bottom
R1B58,65.490646,-368.4991,90.0,bottom
R1B59,57.469073,-359.638182,90.0,bottom
R1B6,66.59647,-123.432976,90.0,bottom
R1B60,57.890646,-368.4991,90.0,bottom
R1B61,65.442073,-377.603935,90.0,bottom
R1B62,65.11,-386.505,90.0,bottom
R1B63,57.879573,-377.271952,90.0,bottom
R1B64,57.7475,-386.273017,90.0,bottom
R1B7,57.392034,-114.464052,90.0,bottom
R1B8,57.2975,-123.245,90.0,bottom
R1B9,66.605996,-132.574006,90.0,bottom
R2A1,61.0925,-96.17,270.0,bottom
R2A10,63.85,-141.455,270.0,bottom
R2A11,54.166064,-132.109093,270.0,bottom
R2A12,54.457534,-141.269052,270.0,bottom
R2A13,63.86,-150.305,270.0,bottom
R2A14,63.7875,-159.213017,270.0,bottom
R2A15,54.439966,-150.303965,270.0,bottom
R2A16,54.4975,-159.034476,270.0,bottom
R2A17,64.013259,-167.933017,270.0,bottom
R2A18,63.769966,-176.778965,270.0,bottom
R2A19,54.6725,-167.859476,270.0,bottom
R2A2,62.5925,-105.17,270.0,bottom
R2A20,54.137534,-176.804052,270.0,bottom
R2A21,63.244966,-185.608965,270.0,bottom
R2A22,63.6675,-194.568017,270.0,bottom
R2A23,54.0975,-185.573017,270.0,bottom
R2A24,54.2525,-194.559482,270.0,bottom
R2A25,62.243,-216.5325,270.0,bottom
R2A26,62.353,-225.365,270.0,bottom
R2A27,53.4655,-216.395,270.0,bottom
R2A28,54.553,-225.365,270.0,bottom
R2A29,62.453,-234.165,270.0,bottom
R2A3,54.3425,-96.23,270.0,bottom
R2A30,63.253,-242.915,270.0,bottom
R2A31,53.953,-234.165,270.0,bottom
R2A32,54.553,-242.965,270.0,bottom
R2A33,63.16,-251.675,270.0,bottom
R2A34,63.79,-260.905,270.0,bottom
R2A35,54.76,-251.875,270.0,bottom
R2A36,56.0,-260.915,270.0,bottom
R2A37,63.4,-269.665,270.0,bottom
R2A38,63.42,-278.545,270.0,bottom
R2A39,55.4,-269.515,270.0,bottom
R2A4,54.4475,-105.39,270.0,bottom
R2A40,55.82,-278.745,270.0,bottom
R2A41,63.62,-287.37,270.0,bottom
R2A42,63.285,-296.32,270.0,bottom
R2A43,55.62,-287.57,270.0,bottom
R2A44,55.51,-296.525,270.0,bottom
R2A45,63.24,-305.23,270.0,bottom
R2A46,63.06,-314.09,270.0,bottom
R2A47,55.435,-305.31,270.0,bottom
R2A48,55.26,-314.29,270.0,bottom
R2A49,63.17,-323.22,270.0,bottom
R2A5,62.8175,-113.855,270.0,bottom
R2A50,62.32,-332.29,270.0,bottom
R2A51,55.27,-323.22,270.0,bottom
R2A52,54.92,-332.29,270.0,bottom
R2A53,62.47,-341.495,270.0,bottom
R2A54,62.59,-350.63,270.0,bottom
R2A55,54.42,-341.545,270.0,bottom
R2A56,55.02,-350.745,270.0,bottom
R2A57,62.349073,-359.638182,270.0,bottom
R2A58,62.570646,-368.4991,270.0,bottom
R2A59,54.549073,-359.638182,270.0,bottom
R2A6,63.67647,-123.432976,270.0,bottom
R2A60,54.970646,-368.4991,270.0,bottom
R2A61,62.522073,-377.603935,270.0,bottom
R2A62,62.19,-386.505,270.0,bottom
R2A63,54.959573,-377.271952,270.0,bottom
R2A64,54.8275,-386.273017,270.0,bottom
R2A7,54.472034,-114.464052,270.0,bottom
R2A8,54.3775,-123.245,270.0,bottom
R2A9,63.685996,-132.574006,270.0,bottom
R3A1,102.117554,-105.35,270.0,bottom
R3A10,90.700446,-176.170879,270.0,bottom
R3A11,102.0869,-193.756099,270.0,bottom
R3A12,90.700446,-193.876099,270.0,bottom
R3A13,102.1469,-223.37,270.0,bottom
R3A14,90.700446,-223.38,270.0,bottom
R3A15,102.1469,-241.18,270.0,bottom
R3A16,90.700446,-241.18,270.0,bottom
R3A17,101.118727,-249.480401,90.0,bottom
R3A18,89.361101,-249.460401,90.0,bottom
R3A19,101.118727,-267.288258,90.0,bottom
R3A2,90.6711,-105.35,270.0,bottom
R3A20,89.643727,-267.285401,90.0,bottom
R3A21,101.118727,-285.096115,90.0,bottom
R3A22,89.643727,-285.090401,90.0,bottom
R3A23,101.118727,-302.903972,90.0,bottom
R3A24,89.643727,-302.895401,90.0,bottom
R3A25,101.118727,-320.71183,90.0,bottom
R3A26,89.643727,-320.700401,90.0,bottom
R3A27,101.118727,-338.519687,90.0,bottom
R3A28,89.643727,-338.505401,90.0,bottom
R3A29,101.118727,-356.327544,90.0,bottom
R3A3,102.117554,-123.05522,270.0,bottom
R3A30,89.361101,-356.290401,90.0,bottom
R3A31,100.836101,-374.115401,90.0,bottom
R3A32,89.361101,-374.090401,90.0,bottom
R3A4,90.6711,-123.05522,270.0,bottom
R3A5,102.1469,-140.76044,270.0,bottom
R3A6,90.700446,-140.76044,270.0,bottom
R3A7,102.1469,-158.465659,270.0,bottom
R3A8,90.700446,-158.465659,270.0,bottom
R3A9,102.1469,-176.170879,270.0,bottom
R3B1,103.117554,-105.36,90.0,bottom
R3B10,91.700446,-176.180879,90.0,bottom
R3B11,103.0869,-193.766099,90.0,bottom
R3B12,91.700446,-193.886099,90.0,bottom
R3B13,103.1469,-223.38,90.0,bottom
R3B14,91.700446,-223.39,90.0,bottom
R3B15,103.1469,-241.19,90.0,bottom
R3B16,91.700446,-241.19,90.0,bottom
R3B17,100.043727,-249.480401,270.0,bottom
R3B18,88.286101,-249.460401,270.0,bottom
R3B19,100.043727,-267.288258,270.0,bottom
R3B2,91.6711,-105.36,90.0,bottom
R3B20,88.568727,-267.285401,270.0,bottom
R3B21,100.043727,-285.096115,270.0,bottom
R3B22,88.568727,-285.090401,270.0,bottom
R3B23,100.043727,-302.903972,270.0,bottom
R3B24,88.568727,-302.895401,270.0,bottom
R3B25,100.043727,-320.71183,270.0,bottom
R3B26,88.568727,-320.700401,270.0,bottom
R3B27,100.043727,-338.519687,270.0,bottom
R3B28,88.568727,-338.505401,270.0,bottom
R3B29,100.043727,-356.327544,270.0,bottom
R3B3,103.117554,-123.06522,90.0,bottom
R3B30,88.286101,-356.290401,270.0,bottom
R3B31,99.761101,-374.115401,270.0,bottom
R3B32,88.286101,-374.090401,270.0,bottom
R3B4,91.6711,-123.06522,90.0,bottom
R3B5,103.1469,-140.77044,90.0,bottom
R3B6,91.700446,-140.77044,90.0,bottom
R3B7,103.1469,-158.475659,90.0,bottom
R3B8,91.700446,-158.475659,90.0,bottom
R3B9,103.1469,-176.180879,90.0,bottom
R3C1,101.117554,-95.8,90.0,bottom
R3C10,89.700446,-166.620879,90.0,bottom
R3C11,101.0869,-184.206099,90.0,bottom
R3C12,89.700446,-184.326099,90.0,bottom
R3C13,101.1469,-213.82,90.0,bottom
R3C14,89.700446,-213.83,90.0,bottom
R3C15,101.1469,-231.63,90.0,bottom
R3C16,89.700446,-231.63,90.0,bottom
R3C17,102.193727,-258.975401,270.0,bottom
R3C18,90.436101,-258.955401,270.0,bottom
R3C19,102.193727,-276.783258,270.0,bottom
R3C2,89.6711,-95.8,90.0,bottom
R3C20,90.718727,-276.780401,270.0,bottom
R3C21,102.193727,-294.591115,270.0,bottom
R3C22,90.718727,-294.585401,270.0,bottom
R3C23,102.193727,-312.398972,270.0,bottom
R3C24,90.718727,-312.390401,270.0,bottom
R3C25,102.193727,-330.20683,270.0,bottom
R3C26,90.718727,-330.195401,270.0,bottom
R3C27,102.193727,-348.014687,270.0,bottom
R3C28,90.718727,-348.000401,270.0,bottom
R3C29,98.38,-364.73,0.0,bottom
R3C3,101.117554,-113.50522,90.0,bottom
R3C30,93.89,-362.61,180.0,bottom
R3C31,101.911101,-383.610401,270.0,bottom
R3C32,90.436101,-383.585401,270.0,bottom
R3C4,89.6711,-113.50522,90.0,bottom
R3C5,101.1469,-131.21044,90.0,bottom
R3C6,89.700446,-131.21044,90.0,bottom
R3C7,101.1469,-148.915659,90.0,bottom
R3C8,89.700446,-148.915659,90.0,bottom
R3C9,101.1469,-166.620879,90.0,bottom
R3D1,100.117554,-95.79,270.0,bottom
R3D10,88.700446,-166.610879,270.0,bottom
R3D11,100.0869,-184.196099,270.0,bottom
R3D12,88.700446,-184.316099,270.0,bottom
R3D13,100.1469,-213.81,270.0,bottom
R3D14,88.700446,-213.82,270.0,bottom
R3D15,100.1469,-231.62,270.0,bottom
R3D16,88.700446,-231.62,270.0,bottom
R3D17,103.243727,-258.975401,90.0,bottom
R3D18,91.486101,-258.955401,90.0,bottom
R3D19,103.243727,-276.783258,90.0,bottom
R3D2,88.6711,-95.79,270.0,bottom
R3D20,91.768727,-276.780401,90.0,bottom
R3D21,103.243727,-294.591115,90.0,bottom
R3D22,91.768727,-294.585401,90.0,bottom
R3D23,103.243727,-312.398972,90.0,bottom
R3D24,91.768727,-312.390401,90.0,bottom
R3D25,103.243727,-330.20683,90.0,bottom
R3D26,91.768727,-330.195401,90.0,bottom
R3D27,103.243727,-348.014687,90.0,bottom
R3D28,91.768727,-348.000401,90.0,bottom
R3D29,98.38,-365.78,180.0,bottom
R3D3,100.117554,-113.49522,270.0,bottom
R3D30,93.89,-361.56,0.0,bottom
R3D31,102.961101,-383.610401,90.0,bottom
R3D32,91.486101,-383.585401,90.0,bottom
R3D4,88.6711,-113.49522,270.0,bottom
R3D5,100.1469,-131.20044,270.0,bottom
R3D6,88.700446,-131.20044,270.0,bottom
R3D7,100.1469,-148.905659,270.0,bottom
R3D8,88.700446,-148.905659,270.0,bottom
R3D9,100.1469,-166.610879,270.0,bottom
R4A1,101.117554,-105.35,270.0,bottom
R4A10,89.700446,-176.170879,270.0,bottom
R4A11,101.0869,-193.756099,270.0,bottom
R4A12,89.700446,-193.876099,270.0,bottom
R4A13,101.1469,-223.37,270.0,bottom
R4A14,89.700446,-223.38,270.0,bottom
R4A15,101.1469,-241.18,270.0,bottom
R4A16,89.700446,-241.18,270.0,bottom
R4A17,102.193727,-249.470401,90.0,bottom
R4A18,90.436101,-249.450401,90.0,bottom
R4A19,102.193727,-267.278258,90.0,bottom
R4A2,89.6711,-105.35,270.0,bottom
R4A20,90.718727,-267.275401,90.0,bottom
R4A21,102.193727,-285.086115,90.0,bottom
R4A22,90.718727,-285.080401,90.0,bottom
